Time;EMG1;EMG2;EMG3;EMG4;EMG1_F;EMG2_F;EMG3_F;EMG4_F;
2728;0;0;0;0;30;30;30;30;
2737;0;0;0;0;30;30;30;30;
2748;0;0;0;0;30;30;30;30;
2759;0;0;0;0;30;30;30;30;
2769;0;0;0;0;30;30;30;30;
2779;0;0;0;0;30;30;30;30;
2788;0;0;0;0;30;30;30;30;
2801;0;0;0;0;30;30;30;30;
2813;0;0;0;0;30;30;30;30;
2827;0;0;0;0;30;30;30;30;
2837;0;0;0;0;30;30;30;30;
2848;0;0;0;0;30;30;30;30;
2858;0;0;0;0;30;30;30;30;
2867;0;0;0;0;30;30;30;30;
2880;0;0;0;0;30;30;30;30;
2893;0;0;0;0;30;30;30;30;
2904;0;0;0;0;30;30;30;30;
2919;0;0;0;0;30;30;30;30;
2928;0;0;0;0;30;30;30;30;
2941;0;0;0;0;30;30;30;30;
2951;0;0;0;0;30;30;30;30;
2960;0;0;0;0;30;30;30;30;
2971;0;0;0;0;30;30;30;30;
2981;0;0;0;0;30;30;30;30;
2991;0;0;0;0;30;30;30;30;
3001;0;0;0;0;30;30;30;30;
3012;0;0;0;0;30;30;30;30;
3021;0;0;0;0;30;30;30;30;
3032;0;0;0;0;30;30;30;30;
3042;0;0;0;0;30;30;30;30;
3052;0;0;0;0;30;30;30;30;
3062;0;0;0;0;30;30;30;30;
3072;0;0;0;0;30;30;30;30;
3082;0;0;0;0;30;30;30;30;
3092;0;0;0;0;30;30;30;30;
3102;0;0;0;0;30;30;30;30;
3112;0;0;0;0;30;30;30;30;
3123;0;0;0;0;30;30;30;30;
3133;0;0;0;0;30;30;30;30;
3144;0;0;0;0;30;30;30;30;
3154;0;0;0;0;30;30;30;30;
3166;0;0;0;0;30;30;30;30;
3175;0;0;0;0;30;30;30;30;
3184;0;0;0;0;30;30;30;30;
3195;0;0;0;0;30;30;30;30;
3205;0;0;0;0;30;30;30;30;
3215;0;0;0;0;30;30;30;30;
3230;0;0;0;0;30;30;30;30;
3240;0;0;0;0;30;30;30;30;
3251;0;0;0;0;30;30;30;30;
3261;0;0;0;0;30;30;30;30;
3271;0;0;0;0;30;30;30;30;
3281;0;0;0;0;30;30;30;30;
3291;0;0;0;0;30;30;30;30;
3300;0;0;0;0;30;30;30;30;
3311;0;0;0;0;30;30;30;30;
3320;0;0;0;0;30;30;30;30;
3330;0;0;0;0;30;30;30;30;
3340;0;0;0;0;30;30;30;30;
3351;0;0;0;0;30;30;30;30;
3361;0;0;0;0;30;30;30;30;
3371;0;0;0;0;30;30;30;30;
3381;0;0;0;0;30;30;30;30;
3391;0;0;0;0;30;30;30;30;
3400;0;0;0;0;30;30;30;30;
3411;0;0;0;0;30;30;30;30;
3422;0;0;0;0;30;30;30;30;
3433;0;0;0;0;30;30;30;30;
3444;0;0;0;0;30;30;30;30;
3454;0;0;0;0;30;30;30;30;
3464;0;0;0;0;30;30;30;30;
3474;0;0;0;0;30;30;30;30;
3485;0;0;0;0;30;30;30;30;
3495;0;0;0;0;30;30;30;30;
3504;0;0;0;0;30;30;30;30;
3514;0;0;0;0;30;30;30;30;
3523;0;0;0;0;30;30;30;30;
3534;0;0;0;0;30;30;30;30;
3546;0;0;0;0;30;30;30;30;
3556;0;0;0;0;30;30;30;30;
3566;0;0;0;0;30;30;30;30;
3577;0;0;0;0;30;30;30;30;
3587;0;0;0;0;30;30;30;30;
3596;0;0;0;0;30;30;30;30;
3607;0;0;0;0;30;30;30;30;
3618;0;0;0;0;30;30;30;30;
3628;0;0;0;0;30;30;30;30;
3639;0;0;0;0;30;30;30;30;
3650;0;0;0;0;30;30;30;30;
3659;0;0;0;0;30;30;30;30;
3668;0;0;0;0;30;30;30;30;
3678;0;0;0;0;30;30;30;30;
3688;0;0;0;0;30;30;30;30;
3698;0;0;0;0;30;30;30;30;
3709;0;0;0;0;30;30;30;30;
3719;0;0;0;0;30;30;30;30;
3729;0;0;0;0;30;30;30;30;
3739;0;0;0;0;30;30;30;30;
3749;0;0;0;0;30;30;30;30;
3760;0;0;0;0;30;30;30;30;
3771;0;0;0;0;30;30;30;30;
3781;0;0;0;0;30;30;30;30;
3791;0;0;0;0;30;30;30;30;
3802;0;0;0;0;30;30;30;30;
3815;0;0;0;0;30;30;30;30;
3827;0;0;0;0;30;30;30;30;
3839;0;0;0;0;30;30;30;30;
3849;0;0;0;0;30;30;30;30;
3859;0;0;0;0;30;30;30;30;
3869;0;0;0;0;30;30;30;30;
3880;0;0;0;0;30;30;30;30;
3892;0;0;0;0;30;30;30;30;
3901;0;0;0;0;30;30;30;30;
3911;0;0;0;0;30;30;30;30;
3921;0;0;0;0;30;30;30;30;
3931;0;0;0;0;30;30;30;30;
3945;0;0;0;0;30;30;30;30;
3957;0;0;0;0;30;30;30;30;
3969;0;0;0;0;30;30;30;30;
3980;0;0;0;0;30;30;30;30;
3991;0;0;0;0;30;30;30;30;
4002;0;0;0;0;30;30;30;30;
4013;0;0;0;0;30;30;30;30;
4023;0;0;0;0;30;30;30;30;
4032;0;0;0;0;30;30;30;30;
4043;0;0;0;0;30;30;30;30;
4053;0;0;0;0;30;30;30;30;
4063;0;0;0;0;30;30;30;30;
4072;0;0;0;0;30;30;30;30;
4083;0;0;0;0;30;30;30;30;
4093;0;0;0;0;30;30;30;30;
4103;0;0;0;0;30;30;30;30;
4114;0;0;0;0;30;30;30;30;
4124;0;0;0;0;30;30;30;30;
4134;0;0;0;0;30;30;30;30;
4147;0;0;0;0;30;30;30;30;
4156;0;0;0;0;30;30;30;30;
4167;0;0;0;0;30;30;30;30;
4179;0;0;0;0;30;30;30;30;
