Time;EMG1;EMG2;EMG3;EMG4;
3203;-33,45402;-6,235346;-23,58954;-32,28084;
3221;-33,45402;-6,235346;-23,58954;-32,28084;
3241;-31,42955;-5,400774;-30,36172;-40,69226;
3265;-33,70835;-5,328562;-20,11758;-35,59462;
3283;-33,70835;-5,328562;-20,11758;-35,59462;
3302;-34,63883;-6,87745;-22,70807;-43,11257;
3318;-32,80715;-4,534526;-24,86197;-41,78974;
3337;-32,80769;-6,162828;-20,708;-42,94813;
3355;-32,68091;-4,60064;-25,2628;-37,92017;
3372;-31,39915;-8,859443;-30,60262;-37,41723;
3390;-34,93605;-8,050171;-20,40043;-42,65584;
3407;-31,59683;-5,670517;-26,25657;-40,84658;
3424;-36,33215;-8,723381;-24,33908;-45,16197;
3443;-30,16665;-5,684341;-19,12257;-25,22401;
3465;-40,60173;-14,90118;-26,63762;-45,56738;
3482;-40,60173;-14,90118;-26,63762;-45,56738;
3499;-69,81067;-15,49968;-19,73485;-42,83901;
3518;-28,49824;-10,00062;-29,51335;-51,8157;
3535;-85,58012;3,312862;-24,49922;-40,95657;
3553;-37,13752;-28,06826;-19,75084;-33,49006;
3572;-67,89481;-33,06768;-23,76379;-44,12491;
3591;-31,46827;-108,0073;-22,55307;-40,15364;
3608;-100,3646;-49,18963;-27,85517;-48,92157;
3625;-700,0488;-167,2656;-20,95475;-30,8131;
3647;-340,4533;17,72968;-29,36088;-37,46516;
3668;-45,69323;-24,82974;0,2876959;-39,57546;
3689;-22,51005;48,35638;-47,74044;-33,59178;
3707;342,6149;11,73345;3,623015;-41,89085;
3725;-380,3849;-46,98123;-45,37173;-37,99012;
3742;-380,3849;-46,98123;-45,37173;-37,99012;
3760;-47,63884;20,65785;-40,32111;-36,9306;
3779;-32,74168;-16,63603;-36,48208;-70,61648;
3797;-32,97413;-4,251608;-19,10996;-39,42637;
3816;-29,97073;-7,486975;-50,66839;-59,0004;
3838;-36,87226;-26,72596;-92,78786;-69,56075;
3854;-33,90707;-7,432143;-42,37032;-65,27474;
3872;-33,52967;-11,67971;-30,51579;-24,32242;
3889;-34,97994;-5,726611;-19,8245;-33,51602;
3909;-30,54188;-6,71037;-41,8486;-34,52295;
3927;-34,1068;-10,16836;-11,17558;-36,09347;
3948;-35,59174;-5,933181;-22,31677;-45,42355;
3971;-35,44654;-6,931591;-20,31923;-25,8473;
3991;-32,28586;-7,89111;-24,12751;-38,05695;
4010;-35,86023;-8,0837;-22,14984;-33,73583;
4030;-32,18628;-6,073009;-23,68712;-39,2359;
4048;-31,33506;-8,508106;-30,23545;-36,93493;
4066;-31,83226;-7,216922;-17,21702;-37,21359;
4084;-35,62066;-8,943747;-31,87594;-48,38147;
4104;-33,72005;-5,008461;-10,12349;-39,60238;
4119;-33,72005;-5,008461;-10,12349;-39,60238;
4139;-32,26468;-10,71409;-28,55213;-37,16488;
4159;-37,59208;-4,902388;-27,55869;-63,07344;
4179;-34,05082;-4,397324;-15,32337;-35,43835;
4196;-32,75727;-10,60747;-33,81638;-35,28028;
4216;-36,34836;-11,28577;-26,65596;-48,25224;
4234;-34,26995;-5,712478;-27,80324;-43,27634;
4253;-31,26222;-8,256365;-21,73206;-55,00673;
4270;-34,26097;-10,3708;-23,78637;-46,16608;
4287;-33,29788;-8,040301;-24,25181;-29,0456;
4307;-31,6913;-8,232596;-23,6005;-44,93768;
4325;-31,6913;-8,232596;-23,6005;-44,93768;
4342;-31,6913;-8,232596;-23,6005;-44,93768;
